strike,lastPrice,Put Value,implied volatility,delta,gamma,theta,vega,rho
1900,2101.904,0.335,0.6180873003248237,0.9958642516288555,3.5949348544031725e-06,-0.27120732744467047,0.06062576978982937,3.2084623641523047
2000,2002.778,0.422,0.5903277169844956,0.9955406361033331,4.766455964264143e-06,-0.3397662827326623,0.07677241118750625,3.3753978214516964
2100,1903.665,0.521,0.5627041684993337,0.9951494833133689,6.239422168903457e-06,-0.41039377923063813,0.09579457722013279,3.5418502716337845
2200,1804.569,0.637,0.5355041436410657,0.9946702572131925,8.110997668861416e-06,-0.4837706987980164,0.11850960026527478,3.707672766442219
2300,1705.493,0.774,0.5087335777701847,0.9940822951280279,1.0493889890918625e-05,-0.5601845874719729,0.14566101339956095,3.8727191999467334
2400,1606.446,0.94,0.4826783687801026,0.9933425952360213,1.358481296716334e-05,-0.6411348315148366,0.1789072420401521,4.03668080222626
2450,1556.937,1.037,0.46997141978958856,0.9928980328808107,1.5478117262105326e-05,-0.6838533377684111,0.19847508731168936,4.118127078818734
2500,1507.44,1.146,0.4574904220169892,0.9923918004875817,1.765904327732842e-05,-0.728379671917522,0.22042741012914416,4.1991320882772945
2550,1457.957,1.27,0.4452347927538361,0.991813349940268,2.0178113435149405e-05,-0.7749520236892687,0.2451241354757278,4.279620445324081
2600,1408.492,1.41,0.43326273225494494,0.9911447790461007,2.31111950141107e-05,-0.824161266172041,0.2732059524862184,4.3594631731768105
2650,1359.046,1.571,0.4214937921155527,0.9903769238358164,2.6513214386951376e-05,-0.875929839429673,0.30490881991967816,4.438596037305724
2700,1309.622,1.753,0.40991820536828794,0.9894930535769688,3.0466513989281285e-05,-0.9305313367573425,0.34075041413461876,4.516899760460669
2725,1284.919,1.853,0.40419073275076356,0.98900265839822,3.267654150858259e-05,-0.9589266744528376,0.36036189106466,4.555705609190673
2750,1260.223,1.96,0.3985123562732359,0.9884751178434946,3.506373367847112e-05,-0.9881702641880334,0.38125572311405365,4.594246060773691
2775,1235.534,2.074,0.39286781998425596,0.9879091911333872,3.763789727517553e-05,-1.0182068951521048,0.4034486165297554,4.632512649044412
2800,1210.852,2.196,0.38724378676339755,0.987303550892824,4.040968050061378e-05,-1.0489815611286615,0.4269591213193803,4.67049631697243
2825,1186.179,2.325,0.3816729021589378,0.9866499325443735,4.341075122635027e-05,-1.0807817231959014,0.4520693358723291,4.708137260466587
2850,1161.513,2.463,0.3760959691477344,0.9859535842458448,4.663381823260133e-05,-1.1131983211144518,0.47853760911690374,4.745474701790956
